Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
MS4A12	FLJ20217, Ms4a10	ENSG00000071203	Membrane spanning 4-domains A12	11	60492778-60507430	Predicted membrane proteins	Evidence at protein level	HPA057657	Enhanced					Tissue enriched	Group enriched	19	colon: 235.5;rectum: 280.6	appendix: 13.2	Cell line enhanced		RH-30: 1.1
MS4A13		ENSG00000204979	Membrane spanning 4-domains A13	11	60515413-60542721	Predicted intracellular proteins, Predicted membrane proteins	Evidence at transcript level	HPA045017, HPA063626	Uncertain					Not detected	Tissue enriched	54	testis: 5.3	all non-specific tissues: 0.0	Cell line enhanced		U-266/70: 1.4
MS4A14	DKFZp434H092, FLJ32856, MS4A16, NYD-SP21	ENSG00000166928	Membrane spanning 4-domains A14	11	60378530-60417756	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at transcript level							Mixed	Tissue enriched	12	testis: 91.8	spleen: 7.6	Cell line enriched	23	THP-1: 6.3
MS4A15		ENSG00000166961	Membrane spanning 4-domains A15	11	60756953-60776732	Predicted membrane proteins	Evidence at transcript level							Tissue enhanced	Tissue enriched	11	lung: 71.4	endometrium: 6.2	Cell line enhanced		HEL: 6.6;MOLT-4: 2.7;U-266/70: 7.9;U-266/84: 3.3
MS4A18		ENSG00000214782	Membrane spanning 4-domains A18	11	60729304-60744212	Predicted membrane proteins	Evidence at transcript level	HPA045121	Approved					Not detected	Tissue enhanced		breast: 10.3;duodenum: 23.9	small intestine: 4.0	Not detected		
MS4A2	APY, FCER1B, IGER, MS4A1	ENSG00000149534	Membrane spanning 4-domains A2	11	60088261-60098466	FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA059967	Enhanced					Mixed	Tissue enhanced		lung: 24.8	gallbladder: 18.4	Cell line enhanced		HEL: 2.4;THP-1: 1.0
MS4A3	CD20L, HTM4	ENSG00000149516	Membrane spanning 4-domains A3	11	60056587-60071128	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA019210	Supported					Not detected	Tissue enriched	256	bone marrow: 305.3	skin,spleen: 1.1	Cell line enhanced		HEL: 172.0;K-562: 132.6;NB-4: 69.9;THP-1: 214.5;U-937: 98.3
MS4A4A	CD20L1, MS4A4, MS4A7	ENSG00000110079	Membrane spanning 4-domains A4A	11	60280541-60308972	Predicted membrane proteins	Evidence at transcript level	HPA029323	Approved					Expressed in all	Tissue enhanced		placenta: 102.2	adipose tissue: 63.4	Cell line enriched	24	K-562: 118.6
MS4A4E		ENSG00000214787	Membrane spanning 4-domains A4E	11	60201253-60243088	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA040075	Uncertain					Mixed	Mixed			adipose tissue: 5.9	Cell line enhanced		K-562: 1.9;THP-1: 2.0
MS4A5	CD20L2	ENSG00000166930	Membrane spanning 4-domains A5	11	60429589-60455214	Predicted intracellular proteins, Predicted membrane proteins	Evidence at transcript level	HPA043732	Uncertain					Not detected	Tissue enriched	280	testis: 73.1	duodenum: 0.2	Not detected		
MS4A6A	CD20L3, MS4A6	ENSG00000110077	Membrane spanning 4-domains A6A	11	60172014-60184666	Predicted intracellular proteins, Predicted membrane proteins	Evidence at transcript level	HPA011391	Approved				Cervical cancer:6.33e-4 (favourable)	Expressed in all	Expressed in all			lymph node: 113.5	Cell line enriched	6	THP-1: 32.2
MS4A6E		ENSG00000166926	Membrane spanning 4-domains A6E	11	60334831-60396596	Predicted membrane proteins	Evidence at transcript level							Not detected	Tissue enriched	37	testis: 61.9	appendix: 1.6	Not detected		
MS4A7	CD20L4, CFFM4, MS4A8	ENSG00000166927	Membrane spanning 4-domains A7	11	60378482-60395951	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA017418, CAB026387	Approved					Expressed in all	Tissue enhanced		spleen: 316.0	lung: 125.0	Cell line enriched	25	THP-1: 78.2
MS4A8	CD20L5, MS4A4, MS4A8B	ENSG00000166959	Membrane spanning 4-domains A8	11	60699574-60715811	Predicted membrane proteins	Evidence at protein level	HPA007318, HPA007319	Enhanced					Tissue enhanced	Tissue enhanced		duodenum: 186.5;fallopian tube: 226.5;small intestine: 210.9	stomach: 49.1	Cell line enhanced		SCLC-21H: 1.1
MSANTD3-TMEFF1	C9orf30-TMEFF1	ENSG00000251349	MSANTD3-TMEFF1 readthrough	9	100442271-100577636	Predicted membrane proteins	Evidence at transcript level							Not detected	Tissue enhanced		cerebral cortex: 48.0	testis: 10.2	Cell line enhanced		AF22: 98.5;NTERA-2: 50.5;SCLC-21H: 63.0
MSLN	CAK1, MPF	ENSG00000102854	Mesothelin	16	760762-768865	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB002216, HPA017172	Enhanced		Approved	Nucleoplasm<br>Vesicles	Renal cancer:5.91e-4 (favourable), Pancreatic cancer:6.66e-4 (unfavourable)	Tissue enhanced	Group enriched	9	fallopian tube: 445.8;lung: 105.4	epididymis: 29.1	Cell line enhanced		CAPAN-2: 448.3;EFO-21: 72.6;HeLa: 104.4;hTCEpi: 80.2
MSLNL	C16orf37, MPFL	ENSG00000162006	Mesothelin-like	16	769428-783370	Predicted membrane proteins	Evidence at transcript level							Tissue enhanced	Not detected			epididymis: 0.8	Group enriched	5	CAPAN-2: 9.8;HeLa: 4.3
MSMO1	DESP4, ERG25, SC4MOL	ENSG00000052802	Methylsterol monooxygenase 1	4	165327623-165343160	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA056127	Approved				Cervical cancer:2.97e-4 (unfavourable), Renal cancer:9.21e-4 (favourable)	Expressed in all	Expressed in all			liver: 297.1	Expressed in all		
MSR1	CD204, SCARA1	ENSG00000038945	Macrophage scavenger receptor 1	8	16107878-16567490	Cancer-related genes, CD markers, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA000272, CAB032491	Enhanced					Expressed in all	Tissue enhanced		lung: 187.7	gallbladder: 50.2	Group enriched	6	BJ hTERT+: 86.3;REH: 37.8
MST1R	CD136, CDw136, PTK8, RON	ENSG00000164078	Macrophage stimulating 1 receptor	3	49887002-49903873	CD markers, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA007657, HPA008180, CAB008972	Enhanced		Approved	Cytosol	Urothelial cancer:2.33e-5 (favourable)	Mixed	Tissue enhanced		skin: 69.4	stomach: 37.2	Cell line enhanced		CAPAN-2: 84.1;HaCaT: 46.9;HBEC3-KT: 41.5;hTCEpi: 57.4;RT4: 49.8
MT-ATP6	ATP6, ATPase-6, MTATP6, RP, Su6m	ENSG00000198899	Mitochondrially encoded ATP synthase 6	MT	8527-9207	Disease related genes, Predicted membrane proteins	Evidence at protein level						Liver cancer:3.79e-4 (favourable), Pancreatic cancer:7.64e-4 (favourable)	Expressed in all	Expressed in all			heart muscle: 42788.3	Expressed in all		
MT-ATP8	A6L, ATP8, MTATP8	ENSG00000228253	Mitochondrially encoded ATP synthase 8	MT	8366-8572	Disease related genes, Predicted membrane proteins	Evidence at protein level						Liver cancer:7.56e-5 (favourable)	Expressed in all	Expressed in all			skeletal muscle: 66363.2	Expressed in all		
MT-CO1	COI, COX1, MTCO1	ENSG00000198804	Mitochondrially encoded cytochrome c oxidase I	MT	5904-7445	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB016241, HPA069328	Enhanced		Supported	Mitochondria	Liver cancer:2.29e-4 (favourable)	Expressed in all	Expressed in all			heart muscle: 79421.5	Expressed in all		
MT-CO2	CO2, COX2, MTCO2	ENSG00000198712	Mitochondrially encoded cytochrome c oxidase II	MT	7586-8269	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB016243, HPA051505, HPA054758	Enhanced				Liver cancer:2.89e-4 (favourable), Pancreatic cancer:7.10e-4 (favourable)	Expressed in all	Expressed in all			heart muscle: 40900.1	Expressed in all		
MT-CO3	CO3, COIII, COX3, MTCO3	ENSG00000198938	Mitochondrially encoded cytochrome c oxidase III	MT	9207-9990	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA042788	Approved		Approved	Nucleoplasm	Pancreatic cancer:1.04e-4 (favourable), Liver cancer:2.01e-4 (favourable)	Expressed in all	Expressed in all			kidney: 54081.3	Expressed in all		
MT-CYB	COB, CYTB, MTCYB, UQCR3	ENSG00000198727	Mitochondrially encoded cytochrome b	MT	14747-15887	Disease related genes, Predicted membrane proteins	Evidence at protein level	CAB032215, HPA068400	Enhanced		Approved	Mitochondria	Liver cancer:5.96e-4 (favourable)	Expressed in all	Expressed in all			heart muscle: 23224.8	Expressed in all		
MT-ND1	MTND1, NAD1, ND1	ENSG00000198888	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	MT	3307-4262	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	CAB033779	Approved				Pancreatic cancer:3.26e-4 (favourable), Breast cancer:3.63e-4 (favourable)	Expressed in all	Expressed in all			skeletal muscle: 23817.4	Expressed in all		
MT-ND2	MTND2, NAD2, ND2	ENSG00000198763	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2	MT	4470-5511	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level							Expressed in all	Expressed in all			heart muscle: 24880.0	Expressed in all		
MT-ND3	MTND3, NAD3, ND3	ENSG00000198840	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3	MT	10059-10404	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA063296	Enhanced		Approved	Cytosol	Liver cancer:4.63e-5 (favourable)	Expressed in all	Expressed in all			heart muscle: 30083.4	Expressed in all		
MT-ND4	LHON, MTND4, NAD4, ND4	ENSG00000198886	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	MT	10760-12137	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA053928	Approved				Ovarian cancer:1.76e-4 (favourable)	Expressed in all	Expressed in all			heart muscle: 36982.3	Expressed in all		
MT-ND4L	MTND4L, NAD4L, ND4L	ENSG00000212907	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L	MT	10470-10766	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA075648			Supported	Mitochondria	Liver cancer:4.47e-4 (favourable)	Expressed in all	Expressed in all			kidney: 23320.0	Expressed in all		
MT-ND5	MTND5, NAD5, ND5	ENSG00000198786	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5	MT	12337-14148	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level						Renal cancer:7.31e-5 (favourable)	Expressed in all	Expressed in all			heart muscle: 13037.2	Expressed in all		
MT-ND6	MTND6, NAD6, ND6	ENSG00000198695	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6	MT	14149-14673	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level						Renal cancer:8.91e-6 (favourable)	Expressed in all	Expressed in all			heart muscle: 22714.1	Expressed in all		
MTCH1	CGI-64, PSAP, SLC25A49	ENSG00000137409	Mitochondrial carrier 1	6	36968141-36986298	Predicted membrane proteins, Transporters	Evidence at protein level	HPA015971	Approved				Renal cancer:1.16e-7 (favourable), Liver cancer:1.17e-4 (unfavourable), Endometrial cancer:2.06e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 569.1	Expressed in all		
MTCH2	SLC25A50	ENSG00000109919	Mitochondrial carrier 2	11	47617315-47642623	Predicted membrane proteins, Transporters	Evidence at protein level	HPA038390	Approved		Supported	Mitochondria	Renal cancer:9.05e-6 (favourable)	Expressed in all	Expressed in all			testis: 138.3	Expressed in all		
MTDH	3D3, AEG-1, LYRIC	ENSG00000147649	Metadherin	8	97644179-97728770	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA010932, HPA015104, CAB068204, CAB068205	Supported		Enhanced	Endoplasmic reticulum	Renal cancer:3.82e-4 (unfavourable), Pancreatic cancer:5.36e-4 (unfavourable), Lung cancer:7.76e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 104.4	Expressed in all		
MTFP1	HSPC242, MTP18	ENSG00000242114	Mitochondrial fission process 1	22	30425530-30429053	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA077396			Approved	Mitochondria		Expressed in all	Expressed in all			epididymis: 19.2	Expressed in all		
MTFR2	DUFD1, FAM54A	ENSG00000146410	Mitochondrial fission regulator 2	6	136231024-136250335	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA029792, HPA029794	Approved		Uncertain	Vesicles	Lung cancer:8.28e-4 (unfavourable), Endometrial cancer:9.64e-4 (unfavourable)	Mixed	Tissue enhanced		testis: 12.7	bone marrow: 10.2	Mixed		
MTHFD1	MTHFC, MTHFD	ENSG00000100714	Methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1	14	64388031-64463457	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA000704, HPA001290, HPA015006, HPA050052	Approved		Enhanced	Cytosol	Renal cancer:5.93e-5 (favourable), Pancreatic cancer:6.96e-4 (unfavourable)	Expressed in all	Expressed in all			liver: 198.5	Expressed in all		
MTHFD1L	DKFZP586G1517, FLJ21145, FTHFSDC1	ENSG00000120254	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	6	150865549-151101887	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA015006, HPA029040, HPA029041, HPA050052, HPA074911	Approved		Supported	Mitochondria	Cervical cancer:1.68e-5 (unfavourable), Liver cancer:8.33e-5 (unfavourable), Urothelial cancer:8.69e-5 (unfavourable), Head and neck cancer:5.10e-4 (unfavourable), Endometrial cancer:7.28e-4 (unfavourable)	Expressed in all	Mixed			placenta: 20.6	Expressed in all		
MTNR1A	MEL-1A-R	ENSG00000168412	Melatonin receptor 1A	4	186533655-186555567	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at protein level							Not detected	Tissue enhanced		kidney: 2.2;testis: 1.9	colon: 1.2	Not detected		
MTNR1B		ENSG00000134640	Melatonin receptor 1B	11	92969720-92985066	FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level							Not detected	Tissue enhanced		placenta: 1.4	testis: 0.8	Not detected		
MTUS1	ATBP, ATIP1, DKFZp586D1519, FLJ14295, ICIS, KIAA1288, MP44, MTSG1	ENSG00000129422	Microtubule associated tumor suppressor 1	8	17643795-17800917	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA067903, HPA069795			Enhanced	Nucleoli<br>Microtubules	Colorectal cancer:1.05e-4 (favourable), Renal cancer:2.76e-4 (favourable)	Expressed in all	Mixed			parathyroid gland: 128.1	Cell line enhanced		A549: 104.4;AN3-CA: 92.7;HUVEC TERT2: 247.3
MTX1	MTX, MTXN	ENSG00000173171	Metaxin 1	1	155208699-155213824	Predicted membrane proteins	Evidence at protein level	HPA011543	Uncertain		Supported	Mitochondria	Renal cancer:3.39e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 71.8	Expressed in all		
MUC1	ADMCKD, ADMCKD1, CD227, MCD, MCKD, MCKD1, PEM, PUM	ENSG00000185499	Mucin 1, cell surface associated	1	155185824-155192916	Cancer-related genes, CD markers, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB000036, CAB001986, HPA004179, HPA007235, HPA008855	Enhanced				Pancreatic cancer:4.60e-4 (unfavourable)	Expressed in all	Tissue enhanced		lung: 448.0;stomach: 654.1	cervix, uterine: 288.9	Group enriched	7	CAPAN-2: 1005.2;RPTEC TERT1: 654.7;T-47d: 360.0
MUC12	MUC11	ENSG00000205277	Mucin 12, cell surface associated	7	100969623-101018949	Predicted membrane proteins	Evidence at protein level	HPA023835	Enhanced					Tissue enriched	Group enriched	24	colon: 49.6;rectum: 74.4	appendix: 2.5	Not detected		
MUC13	DRCC1	ENSG00000173702	Mucin 13, cell surface associated	3	124905442-124953819	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA045163	Enhanced				Renal cancer:9.73e-5 (unfavourable)	Tissue enhanced	Group enriched	6	colon: 301.8;duodenum: 614.7;rectum: 330.1;small intestine: 555.7	appendix: 79.5	Cell line enhanced		A549: 6.6;CACO-2: 5.3;CAPAN-2: 11.9;Karpas-707: 5.6
MUC15		ENSG00000169550	Mucin 15, cell surface associated	11	26559033-26572233	Predicted intracellular proteins, Predicted membrane proteins	Evidence at transcript level	HPA026110	Approved					Tissue enriched	Tissue enriched	18	epididymis: 2826.7	thyroid gland: 159.3	Cell line enhanced		BEWO: 9.4;K-562: 11.5;SK-BR-3: 15.6;U-266/70: 6.2;U-266/84: 16.2
MUC16	CA125, FLJ14303	ENSG00000181143	Mucin 16, cell surface associated	19	8848844-8981342	Plasma proteins, Predicted membrane proteins	Evidence at protein level	CAB055172, HPA065600	Enhanced					Tissue enhanced	Tissue enhanced		cervix, uterine: 24.0;fallopian tube: 9.4	endometrium: 3.5	Cell line enhanced		A-431: 20.2;CAPAN-2: 7.0;HaCaT: 6.8;HeLa: 26.2
MUC17		ENSG00000169876	Mucin 17, cell surface associated	7	101020072-101058745	Cancer-related genes, Predicted membrane proteins	Evidence at protein level	HPA031634	Enhanced					Group enriched	Group enriched	8	duodenum: 21.8;small intestine: 42.5	rectum: 3.8	Not detected		
MUC21	bCX31G15.2, C6orf205	ENSG00000204544	Mucin 21, cell surface associated	6	30983718-30989903	Predicted membrane proteins	Evidence at protein level	HPA052028	Enhanced					Group enriched	Tissue enriched	49	esophagus: 596.4	tonsil: 12.2	Not detected		
MUC22	PBMUCL1	ENSG00000261272	Mucin 22	6	31010474-31035402	Predicted membrane proteins	Evidence at protein level							Not detected	Tissue enriched	116	esophagus: 20.2	testis,tonsil: 0.1	Not detected		
MUC3A	MUC3	ENSG00000169894	Mucin 3A, cell surface associated	7	100949555-100968346	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA010871	Uncertain					Tissue enhanced	Tissue enhanced		duodenum: 41.6;gallbladder: 21.8;small intestine: 37.1	rectum: 13.1	Cell line enhanced		CACO-2: 6.0;CAPAN-2: 2.1;U-2 OS: 1.4
MUC4		ENSG00000145113	Mucin 4, cell surface associated	3	195746765-195812277	Predicted membrane proteins	Evidence at protein level	HPA005895, CAB013536	Approved					Tissue enhanced	Tissue enhanced		colon: 1.0	esophagus: 0.4	Not detected		
MUL1	C1orf166, FLJ12875, GIDE, MAPL, MULAN, RNF218	ENSG00000090432	Mitochondrial E3 ubiquitin protein ligase 1	1	20499448-20508161	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA026827			Approved	Nucleoplasm<br>Mitochondria<br>Cytosol	Renal cancer:6.15e-14 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 39.7	Expressed in all		
MUSK		ENSG00000030304	Muscle associated receptor tyrosine kinase	9	110668771-110801620	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level							Not detected	Mixed			testis: 3.0	Group enriched	19	LHCN-M2: 20.0;RH-30: 23.3
MVD	MPD	ENSG00000167508	Mevalonate diphosphate decarboxylase	16	88651935-88663161	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA041404, HPA048250	Uncertain		Approved	Cell Junctions<br>Cytosol	Endometrial cancer:2.17e-4 (favourable)	Expressed in all	Expressed in all			duodenum: 33.9	Expressed in all		
MXRA8	DKFZp586E2023	ENSG00000162576	Matrix remodeling associated 8	1	1352689-1361777	Predicted membrane proteins	Evidence at protein level	HPA053958, HPA055780	Uncertain		Approved	Nucleoli	Renal cancer:3.43e-6 (unfavourable), Urothelial cancer:9.87e-4 (unfavourable), Stomach cancer:9.93e-4 (unfavourable)	Expressed in all	Tissue enhanced		adipose tissue: 57.4	endometrium: 44.5	Cell line enhanced		BJ: 122.4;BJ hTERT+: 55.0;fHDF/TERT166: 56.2
MYADM		ENSG00000179820	Myeloid associated differentiation marker	19	53866223-53876437	Predicted membrane proteins, Transporters	Evidence at protein level	HPA056301			Approved	Nuclear speckles	Renal cancer:7.71e-7 (unfavourable), Lung cancer:8.15e-4 (unfavourable)	Expressed in all	Expressed in all			smooth muscle: 260.7	Mixed		
MYADML2	LOC255275	ENSG00000185105	Myeloid associated differentiation marker like 2	17	81939645-81947233	Predicted membrane proteins	Evidence at transcript level	HPA041856, HPA048476	Uncertain					Tissue enhanced	Tissue enriched	17	skeletal muscle: 28.8	heart muscle: 1.6	Cell line enriched	8	SCLC-21H: 3.6
MYCT1	FLJ21269, MTLC	ENSG00000120279	Myc target 1	6	152697895-152724567	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA047992			Uncertain	Nucleoplasm	Renal cancer:4.73e-4 (unfavourable)	Expressed in all	Tissue enhanced		spleen: 69.0	placenta: 29.9	Cell line enhanced		HEL: 20.7;HUVEC TERT2: 103.9;TIME: 85.0
MYEOV	OCIM	ENSG00000172927	Myeloma overexpressed	11	69294138-69367726	Predicted membrane proteins	Evidence at transcript level	HPA012949	Uncertain		Approved	Nucleus<br>Vesicles	Pancreatic cancer:1.54e-7 (unfavourable), Renal cancer:1.48e-5 (unfavourable), Lung cancer:2.00e-4 (unfavourable)	Mixed	Group enriched	5	adipose tissue: 4.0;breast: 5.8;esophagus: 9.2;skin: 1.8;stomach: 6.8	appendix: 1.0	Cell line enhanced		A-431: 154.1;A549: 74.9;U-2 OS: 38.7
MYLK	MLCK, MLCK1, MYLK1, smMLCK	ENSG00000065534	Myosin light chain kinase	3	123610049-123884331	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB020789, HPA031677, HPA048055	Enhanced		Enhanced	Plasma membrane<br>Actin filaments	Renal cancer:2.04e-6 (unfavourable), Urothelial cancer:4.46e-4 (unfavourable)	Expressed in all	Expressed in all			smooth muscle: 3002.5	Cell line enhanced		BJ: 144.8;BJ hTERT+: 209.1;fHDF/TERT166: 165.3;RPTEC TERT1: 207.7
MYLK3	caMLCK, MLCK	ENSG00000140795	Myosin light chain kinase 3	16	46703369-46790407	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA073447	Enhanced					Not detected	Tissue enhanced		heart muscle: 69.4;skeletal muscle: 16.9	testis: 11.7	Cell line enhanced		BEWO: 12.5;HEL: 36.3;K-562: 5.8;SK-BR-3: 6.2
MYLK4	SgK085	ENSG00000145949	Myosin light chain kinase family member 4	6	2663629-2750966	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA015860	Uncertain					Mixed	Tissue enhanced		skeletal muscle: 9.8	kidney: 3.1	Cell line enriched	7	HEL: 6.4
MYOF	FER1L3, KIAA1207	ENSG00000138119	Myoferlin	10	93306429-93482317	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA014245	Enhanced		Supported	Vesicles<br>Plasma membrane	Pancreatic cancer:1.40e-4 (unfavourable)	Expressed in all	Mixed			cervix, uterine: 101.2	Mixed		
MYRF	C11orf9, MRF, Ndt80, pqn-47	ENSG00000124920	Myelin regulatory factor	11	61752642-61788518	Plasma proteins, Predicted membrane proteins, Transcription factors	Evidence at protein level	HPA018310			Approved	Nucleoplasm<br>Cytosol	Renal cancer:2.01e-4 (unfavourable)	Mixed	Tissue enhanced		cerebral cortex: 67.4;stomach: 62.1	gallbladder: 38.3	Cell line enhanced		A549: 36.8;CACO-2: 56.7;CAPAN-2: 34.1;EFO-21: 48.7
MYRFL	bcm1377, C12orf15, C12orf28, FLJ25056	ENSG00000166268	Myelin regulatory factor-like	12	69825304-69959097	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	HPA049340	Approved		Approved	Nucleoli		Mixed	Group enriched	5	duodenum: 23.7;small intestine: 24.0	testis: 4.3	Cell line enhanced		NTERA-2: 5.2;T-47d: 11.1
N4BP2L2	CG005, PFAAP5	ENSG00000244754	NEDD4 binding protein 2 like 2	13	32432417-32538885	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA039338, HPA039434, HPA059327	Approved		Approved	Nucleoplasm		Expressed in all	Expressed in all			endometrium: 57.6	Expressed in all		
NAA25	C12orf30, FLJ13089	ENSG00000111300	N(alpha)-acetyltransferase 25, NatB auxiliary subunit	12	112026689-112109022	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA039322	Approved		Supported	Golgi apparatus<br>Cytosol	Renal cancer:1.32e-8 (unfavourable), Liver cancer:5.53e-5 (unfavourable), Endometrial cancer:2.26e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 9.5	Expressed in all		
NAALAD2	GCPIII, NAALADASE2	ENSG00000077616	N-acetylated alpha-linked acidic dipeptidase 2	11	90131515-90192894	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA060820, HPA065419	Approved		Approved	Nucleus		Tissue enhanced	Tissue enhanced		testis: 27.2	adrenal gland: 13.7	Group enriched	5	CACO-2: 31.5;SH-SY5Y: 13.2
NAALADL2		ENSG00000177694	N-acetylated alpha-linked acidic dipeptidase like 2	3	174438573-175810552	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA012413, HPA017425, CAB025586	Approved		Supported	Nucleoplasm		Mixed	Tissue enhanced		parathyroid gland: 28.0	cervix, uterine: 9.9	Cell line enhanced		ASC TERT1: 10.1;fHDF/TERT166: 5.0;WM-115: 5.8
NAGPA	APAA, UCE	ENSG00000103174	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	16	5024844-5034141	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA064055	Approved				Renal cancer:2.67e-5 (unfavourable), Liver cancer:4.67e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 9.6	Mixed		
NALCN	bA430M15.1, CanIon, VGCNL1	ENSG00000102452	Sodium leak channel, non-selective	13	101053776-101416492	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA031889, HPA031890, HPA031958	Approved					Mixed	Tissue enhanced		cerebral cortex: 28.1	adrenal gland: 6.0	Cell line enhanced		HaCaT: 12.6;HHSteC: 12.3;TIME: 15.4;U-87 MG: 11.1
NAT14	KLP1	ENSG00000090971	N-acetyltransferase 14 (putative)	19	55485004-55487568	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA047187			Approved	Mitochondria	Renal cancer:3.61e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 26.7	Expressed in all		
NAT8	ATase2, GLA, Hcml1, TSC501	ENSG00000144035	N-acetyltransferase 8 (putative)	2	73640832-73642393	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA067855, HPA074519	Enhanced		Approved	Endoplasmic reticulum		Tissue enriched	Tissue enriched	18	kidney: 891.8	liver: 49.4	Cell line enriched	12	Hep G2: 8.7
