Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
IGFALS	ALS	ENSG00000099769	Insulin like growth factor binding protein acid labile subunit	16	1790413-1794971	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA040692, HPA040948	Approved		Supported	Nucleoplasm	Liver cancer:5.97e-4 (favourable), Endometrial cancer:6.06e-4 (unfavourable)	Tissue enhanced	Group enriched	6	liver: 25.0;stomach: 6.6	gallbladder: 2.5	Cell line enhanced		Hep G2: 1.2;U-266/70: 1.3
IGFLR1	FLJ22573, TMEM149, U2AF1L4	ENSG00000126246	IGF like family receptor 1	19	35738801-35742453	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA012369	Uncertain		Approved	Focal adhesion sites	Ovarian cancer:1.59e-5 (favourable), Cervical cancer:6.55e-4 (favourable)	Expressed in all	Mixed			lymph node: 37.8	Cell line enhanced		HMC-1: 29.7;U-266/70: 26.0
IGSF1	IGCD1, IGDC1, INHBP, KIAA0364, MGC75490, PGSF2	ENSG00000147255	Immunoglobulin superfamily member 1	X	131273506-131578899	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA012732, HPA035582	Enhanced		Approved	Cytosol	Endometrial cancer:4.25e-8 (unfavourable)	Tissue enriched	Tissue enhanced		testis: 20.0	adrenal gland: 13.1	Cell line enhanced		Hep G2: 22.7;SH-SY5Y: 30.6
IGSF11	BT-IgSF, CT119, Igsf13, MGC35227, VSIG3	ENSG00000144847	Immunoglobulin superfamily member 11	3	118900557-119146068	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA046377	Uncertain		Approved	Nucleus<br>Cell Junctions<br>Cytosol		Group enriched	Tissue enhanced		cerebral cortex: 31.0;testis: 64.9	ovary: 20.1	Cell line enhanced		A549: 7.2;SK-MEL-30: 26.9;U-266/70: 8.9;U-266/84: 10.2
IGSF8	CD316, CD81P3, EWI2, PGRL	ENSG00000162729	Immunoglobulin superfamily member 8	1	160091340-160098943	CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA011917	Uncertain				Cervical cancer:7.32e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 107.8	Expressed in all		
IGSF9	IGSF9A, KIAA1355, Nrt1	ENSG00000085552	Immunoglobulin superfamily member 9	1	159927039-159945604	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA037753	Uncertain				Endometrial cancer:5.16e-4 (unfavourable)	Mixed	Tissue enhanced		skin: 28.1	stomach: 13.2	Cell line enhanced		BEWO: 25.2;HaCaT: 34.4;SCLC-21H: 40.2
IL11RA		ENSG00000137070	Interleukin 11 receptor subunit alpha	9	34650702-34661892	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA013162, CAB032830, HPA036652	Supported				Renal cancer:6.56e-4 (unfavourable)	Expressed in all	Expressed in all			skin: 72.6	Mixed		
IL12RB1	CD212, IL12RB	ENSG00000096996	Interleukin 12 receptor subunit beta 1	19	18058995-18098944	CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA074414			Approved	Plasma membrane	Renal cancer:5.90e-5 (unfavourable), Cervical cancer:3.41e-4 (favourable)	Mixed	Tissue enhanced		lymph node: 25.9	spleen: 20.6	Cell line enhanced		Daudi: 13.1;HDLM-2: 28.9;Karpas-707: 36.8
IL12RB2		ENSG00000081985	Interleukin 12 receptor subunit beta 2	1	67307364-67396900	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA024168	Uncertain		Uncertain	Plasma membrane<br>Cytosol		Tissue enhanced	Tissue enhanced		placenta: 11.8	cerebral cortex: 4.4	Cell line enhanced		HMC-1: 4.6;SCLC-21H: 12.2;SK-MEL-30: 21.0;THP-1: 10.6
IL13RA1	CD213a1, IL-13Ra, NR4	ENSG00000131724	Interleukin 13 receptor subunit alpha 1	X	118727572-118794539	CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA000293			Approved	Nucleoplasm<br>Golgi apparatus	Renal cancer:1.19e-8 (unfavourable)	Expressed in all	Expressed in all			lung: 72.0	Mixed		
IL15RA	CD215, IL-15RA	ENSG00000134470	Interleukin 15 receptor subunit alpha	10	5943639-5978187	CD markers, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB026215	Approved		Uncertain	Plasma membrane<br>Cytosol	Renal cancer:1.27e-12 (unfavourable), Liver cancer:2.67e-6 (unfavourable), Pancreatic cancer:5.35e-4 (unfavourable)	Expressed in all	Expressed in all			gallbladder: 33.5	Cell line enhanced		CAPAN-2: 59.4;HDLM-2: 70.4
IL17RA	CD217, CDw217, hIL-17R, IL-17RA, IL17R	ENSG00000177663	Interleukin 17 receptor A	22	17084954-17115694	CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB024996	Enhanced		Approved	Nucleoplasm<br>Cytosol	Stomach cancer:8.35e-4 (favourable)	Expressed in all	Mixed			bone marrow: 20.6	Cell line enhanced		HL-60: 47.4;THP-1: 50.1
IL17RC	IL17-RL	ENSG00000163702	Interleukin 17 receptor C	3	9917074-9933630	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA019885, CAB026255	Approved				Endometrial cancer:1.38e-4 (favourable)	Expressed in all	Expressed in all			prostate: 24.2	Mixed		
IL17RE	FLJ23658	ENSG00000163701	Interleukin 17 receptor E	3	9902612-9916402	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA019011	Uncertain					Expressed in all	Mixed			small intestine: 22.6	Cell line enhanced		ASC TERT1: 27.7;BEWO: 14.7;T-47d: 18.4
IL18R1	CD218a, IL-1Rrp, IL1RRP	ENSG00000115604	Interleukin 18 receptor 1	2	102311529-102398775	CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007615	Approved		Approved	Mitochondria	Renal cancer:4.52e-4 (unfavourable)	Mixed	Mixed			placenta: 14.4	Cell line enhanced		HDLM-2: 28.1;HHSteC: 51.3;HMC-1: 36.8;U-937: 54.3
IL18RAP	AcPL, CD218b	ENSG00000115607	Interleukin 18 receptor accessory protein	2	102418689-102452565	CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB025270	Enhanced					Mixed	Tissue enhanced		bone marrow: 70.9	appendix: 16.9	Cell line enriched	10	U-937: 42.2
IL19	IL-10C, IL-19, MDA1, NG.1, ZMDA1	ENSG00000142224	Interleukin 19	1	206798870-206842981	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level							Tissue enhanced	Tissue enriched	9	cervix, uterine: 21.0	salivary gland: 2.3	Cell line enriched	11	BJ hTERT+: 4.9
IL1R1	CD121A, D2S1473, IL1R, IL1RA	ENSG00000115594	Interleukin 1 receptor type 1	2	102064544-102179874	Cancer-related genes, CD markers, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA005823, CAB007779, HPA029560	Approved				Renal cancer:6.92e-6 (unfavourable)	Expressed in all	Expressed in all			cervix, uterine: 246.0	Cell line enhanced		ASC diff: 431.3;ASC TERT1: 195.1;HHSteC: 165.4;HSkMC: 562.6
IL1R2	CD121b, IL1RB	ENSG00000115590	Interleukin 1 receptor type 2	2	101991844-102028544	Cancer-related genes, CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA027597, HPA027598	Uncertain				Renal cancer:5.58e-12 (unfavourable)	Mixed	Mixed			appendix: 50.3	Cell line enriched	24	HDLM-2: 436.8
IL1RAP	C3orf13, IL-1RAcP, IL1R3	ENSG00000196083	Interleukin 1 receptor accessory protein	3	190514051-190659750	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA035293	Uncertain		Approved	Vesicles<br>Cytosol	Renal cancer:2.16e-7 (unfavourable), Pancreatic cancer:1.31e-4 (unfavourable), Urothelial cancer:6.29e-4 (unfavourable)	Expressed in all	Tissue enhanced		liver: 113.0;placenta: 53.7	gallbladder: 19.8	Cell line enhanced		SK-MEL-30: 193.6
IL1RL1	DER4, FIT-1, IL33R, ST2, ST2L, ST2V, T1	ENSG00000115602	Interleukin 1 receptor like 1	2	102311502-102352037	Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007406, HPA007917	Uncertain		Approved	Vesicles		Tissue enhanced	Tissue enriched	12	placenta: 289.6	gallbladder: 23.7	Group enriched	6	HHSteC: 206.0;HMC-1: 327.3;HUVEC TERT2: 154.2
IL1RL2	IL1R-rp2, IL1RRP2	ENSG00000115598	Interleukin 1 receptor like 2	2	102186973-102240002	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA015485	Uncertain					Mixed	Tissue enhanced		skin: 15.5	parathyroid gland: 8.5	Cell line enhanced		A-431: 7.2;ASC TERT1: 3.6;HaCaT: 3.3;HSkMC: 3.1
IL20RA	IL-20R1, ZCYTOR7	ENSG00000016402	Interleukin 20 receptor subunit alpha	6	136999971-137045180	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB024990, HPA042281	Approved		Approved	Cytosol	Endometrial cancer:1.43e-6 (favourable), Head and neck cancer:2.29e-5 (favourable)	Mixed	Tissue enhanced		skin: 45.0	breast: 33.5	Group enriched	7	CAPAN-2: 8.4;HaCaT: 6.1;RT4: 9.2;SH-SY5Y: 11.4;T-47d: 10.0
IL2RB	CD122, IL15RB	ENSG00000100385	Interleukin 2 receptor subunit beta	22	37125838-37175054	Cancer-related genes, CD markers, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA062657	Enhanced				Renal cancer:3.50e-7 (unfavourable), Endometrial cancer:3.18e-5 (favourable), Colorectal cancer:6.76e-4 (favourable)	Expressed in all	Tissue enhanced		placenta: 52.7;spleen: 67.1	lymph node: 39.8	Cell line enriched	10	HDLM-2: 476.9
IL31RA	CRL, CRL3, GLM-R, Glmr, IL-31RA	ENSG00000164509	Interleukin 31 receptor A	5	55851379-55922853	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA051532, HPA068114	Approved		Approved	Nucleoplasm<br>Vesicles		Mixed	Tissue enhanced		testis: 3.6	bone marrow: 1.2	Cell line enhanced		hTERT-HME1: 10.7;U-2 OS: 21.6;U-87 MG: 23.4
IL3RA	CD123	ENSG00000185291	Interleukin 3 receptor subunit alpha	X	1336616-1382689	CD markers, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA003539, CAB018374	Approved				Cervical cancer:4.27e-4 (favourable), Breast cancer:9.78e-4 (favourable)	Expressed in all	Mixed			lung: 33.2	Cell line enhanced		HDLM-2: 109.2;RPMI-8226: 33.2
IL4R	CD124	ENSG00000077238	Interleukin 4 receptor	16	27313668-27364778	Cancer-related genes, CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB004451, HPA050124	Enhanced				Renal cancer:1.23e-5 (unfavourable), Endometrial cancer:6.43e-4 (favourable)	Expressed in all	Expressed in all			lymph node: 137.6	Mixed		
IL5RA	CD125, CDw125, IL5R	ENSG00000091181	Interleukin 5 receptor subunit alpha	3	3066326-3126613	CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level							Tissue enhanced	Tissue enhanced		fallopian tube: 22.7	lung: 4.9	Cell line enriched	28	HMC-1: 66.2
IL6R	CD126	ENSG00000160712	Interleukin 6 receptor	1	154405193-154469450	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level						Pancreatic cancer:1.65e-4 (favourable)	Expressed in all	Mixed			appendix: 33.4	Cell line enhanced		THP-1: 147.4;U-266/84: 186.8
IL6ST	CD130, GP130	ENSG00000134352	Interleukin 6 signal transducer	5	55935095-55994993	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA010558, CAB025784	Uncertain		Supported	Golgi apparatus<br>Plasma membrane	Renal cancer:5.05e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 329.8	Expressed in all		
IL7R	CD127	ENSG00000168685	Interleukin 7 receptor	5	35852695-35879603	Cancer-related genes, CD markers, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB010215	Approved		Approved	Plasma membrane<br>Microtubule organizing center		Expressed in all	Tissue enhanced		appendix: 182.9;lymph node: 158.5	tonsil: 112.9	Cell line enhanced		fHDF/TERT166: 149.9;HBF TERT88: 165.6;REH: 372.0
ILDR1	DFNB42, MGC50831	ENSG00000145103	Immunoglobulin like domain containing receptor 1	3	121987323-122022204	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA018207	Approved				Renal cancer:5.79e-9 (favourable)	Mixed	Tissue enhanced		parathyroid gland: 35.1	cervix, uterine: 20.0	Cell line enhanced		CAPAN-2: 6.5;HDLM-2: 10.3;MCF7: 5.7;RT4: 7.7;T-47d: 6.4;U-266/70: 5.6
ILDR2	C1orf32	ENSG00000143195	Immunoglobulin like domain containing receptor 2	1	166895711-166975482	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA012545	Uncertain					Tissue enhanced	Tissue enhanced		cerebral cortex: 11.3;testis: 17.4	kidney: 3.1	Cell line enhanced		AF22: 7.8;U-2 OS: 10.6;U-251 MG: 4.6
ILVBL	209L8, AHAS, FLJ39061, HACL1L, ILV2H, MGC1269, MGC19535	ENSG00000105135	IlvB acetolactate synthase like	19	15114984-15125785	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA067682	Approved		Approved	Golgi apparatus<br>Vesicles	Renal cancer:1.91e-8 (favourable), Endometrial cancer:1.52e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 80.2	Expressed in all		
ISLR2	KIAA1465	ENSG00000167178	Immunoglobulin superfamily containing leucine rich repeat 2	15	74100311-74138540	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA012930, HPA067333	Uncertain					Mixed	Group enriched	5	cerebral cortex: 31.1;testis: 14.8	endometrium: 4.5	Group enriched	13	SCLC-21H: 68.2;SH-SY5Y: 91.6
ITGA4	CD49D	ENSG00000115232	Integrin subunit alpha 4	2	181457202-181536187	Cancer-related genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA074961			Approved	Plasma membrane	Renal cancer:3.08e-5 (unfavourable), Head and neck cancer:8.29e-4 (favourable)	Mixed	Tissue enhanced		spleen: 67.6	appendix: 49.6	Cell line enhanced		fHDF/TERT166: 148.2;HEL: 275.3;MOLT-4: 291.8
ITGA9	ALPHA-RLC, ITGA4L, RLC	ENSG00000144668	Integrin subunit alpha 9	3	37452115-37823514	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA030609	Approved		Approved	Nucleoplasm<br>Vesicles<br>Plasma membrane<br>Cell Junctions		Expressed in all	Mixed			thyroid gland: 34.7	Cell line enhanced		CACO-2: 8.3;HEL: 7.3;SH-SY5Y: 12.3;WM-115: 6.1
ITGAL	CD11A, LFA-1	ENSG00000005844	Integrin subunit alpha L	16	30472658-30523185	CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB025011	Enhanced				Renal cancer:2.69e-5 (unfavourable), Endometrial cancer:5.63e-5 (favourable), Head and neck cancer:3.34e-4 (favourable), Melanoma:5.57e-4 (favourable)	Expressed in all	Tissue enhanced		lymph node: 79.0;spleen: 80.9	appendix: 52.5	Cell line enriched	5	HMC-1: 570.1
ITGAX	CD11C	ENSG00000140678	Integrin subunit alpha X	16	31355134-31382997	CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB004458, HPA004723, CAB072871	Enhanced				Renal cancer:1.37e-4 (unfavourable)	Expressed in all	Tissue enhanced		appendix: 58.3;spleen: 59.0	bone marrow: 30.4	Cell line enriched	5	HMC-1: 92.2
ITGB1	CD29, FNRB, GPIIA, MDF2, MSK12	ENSG00000150093	Integrin subunit beta 1	10	32900319-33005792	Cancer-related genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	CAB003434, HPA059297, HPA069003	Enhanced		Supported	Endoplasmic reticulum<br>Plasma membrane<br>Focal adhesion sites	Lung cancer:3.36e-6 (unfavourable), Cervical cancer:5.01e-4 (unfavourable)	Expressed in all	Expressed in all			smooth muscle: 1069.5	Expressed in all		
ITGB2	CD18, LFA-1, MAC-1, MFI7	ENSG00000160255	Integrin subunit beta 2	21	44885953-44931989	CD markers, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA008877, HPA016894	Enhanced		Approved	Plasma membrane		Expressed in all	Expressed in all			appendix: 239.2	Cell line enhanced		EFO-21: 120.5;THP-1: 518.6;U-937: 447.2
ITGB3	CD61, GP3A, GPIIIa	ENSG00000259207	Integrin subunit beta 3	17	47253846-47311816	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA027852	Supported					Group enriched	Tissue enhanced		thyroid gland: 95.6	smooth muscle: 36.8	Cell line enhanced		EFO-21: 179.0;HEL: 158.0;WM-115: 275.8
ITGB7		ENSG00000139626	Integrin subunit beta 7	12	53191318-53207307	Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA042277			Approved	Plasma membrane<br>Cytosol		Mixed	Mixed			spleen: 32.5	Group enriched	97	Karpas-707: 3399.5;RPMI-8226: 2658.1
JAML	AMICA, AMICA1, Gm638	ENSG00000160593	Junction adhesion molecule like	11	118193740-118225094	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA047919	Approved				Head and neck cancer:3.11e-4 (favourable), Lung cancer:3.92e-4 (favourable)	Mixed	Tissue enhanced		appendix: 82.3	spleen: 67.0	Cell line enhanced		CACO-2: 4.8;HMC-1: 24.2
KCNK7	K2p7.1	ENSG00000173338	Potassium two pore domain channel subfamily K member 7	11	65592855-65595996	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Voltage-gated ion channels	Evidence at transcript level	HPA077577			Approved	Plasma membrane		Tissue enhanced	Tissue enriched	7	skin: 53.2	esophagus: 7.9	Cell line enhanced		SCLC-21H: 8.4
KCNN4	hIKCa1, hKCa4, hSK4, IK, KCa3.1	ENSG00000104783	Potassium calcium-activated channel subfamily N member 4	19	43766533-43781257	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	HPA053841, HPA059622	Approved				Renal cancer:1.05e-14 (unfavourable), Urothelial cancer:1.75e-4 (favourable), Glioma:3.77e-4 (unfavourable), Pancreatic cancer:4.56e-4 (unfavourable)	Expressed in all	Tissue enhanced		salivary gland: 73.7	stomach: 36.6	Cell line enhanced		CAPAN-2: 93.3;WM-115: 264.9
KCNU1	KCa5.1, Kcnma3, KCNMC1, Slo3	ENSG00000215262	Potassium calcium-activated channel subfamily U member 1	8	36784324-36936128	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA063317			Uncertain	Plasma membrane		Tissue enhanced	Tissue enriched	28	testis: 13.5	adipose tissue,epididymis: 0.4	Cell line enriched	6	HDLM-2: 7.3
KDSR	DHSR, FVT1, SDR35C1	ENSG00000119537	3-ketodihydrosphingosine reductase	18	63327726-63367510	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB003673, HPA044884	Approved				Renal cancer:9.53e-6 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 45.5	Expressed in all		
KIAA0319	NMIG	ENSG00000137261	KIAA0319	6	24544104-24646155	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA015607, HPA076313	Enhanced		Uncertain	Vesicles		Mixed	Tissue enriched	6	cerebral cortex: 15.8	fallopian tube: 2.8	Cell line enhanced		HDLM-2: 2.6;SCLC-21H: 5.1;U-266/84: 2.6
KIAA1324	EIG121, maba1	ENSG00000116299	KIAA1324	1	109113679-109206781	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA029869, HPA070749	Enhanced		Supported	Plasma membrane	Endometrial cancer:2.14e-7 (favourable), Lung cancer:5.69e-5 (favourable), Ovarian cancer:2.16e-4 (favourable)	Mixed	Mixed			cervix, uterine: 129.0	Cell line enhanced		MCF7: 21.5;SCLC-21H: 20.3;SK-BR-3: 15.8;T-47d: 68.2;U-87 MG: 13.3
KIR2DL4	103AS, 15.212, CD158D	ENSG00000189013	Killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4	19	54803535-54814517	CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level							Mixed	Not detected			all non-specific tissues: 0.0	Not detected		
KIRREL2	DKFZp564A1164, FILTRIN, MGC15718, NEPH3, NLG1	ENSG00000126259	Kin of IRRE like 2 (Drosophila)	19	35855861-35867109	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA071587, HPA074326			Supported	Microtubule organizing center		Mixed	Tissue enriched	8	pancreas: 11.6	cerebral cortex: 1.4	Cell line enhanced		HDLM-2: 20.2;HMC-1: 29.3
KREMEN2	KRM2, MGC10791	ENSG00000131650	Kringle containing transmembrane protein 2	16	2963944-2968383	Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	HPA003223	Uncertain		Approved	Nucleoli	Lung cancer:8.98e-4 (unfavourable)	Mixed	Tissue enhanced		skin: 6.9	cerebral cortex: 2.1	Cell line enhanced		HMC-1: 24.6;RPMI-8226: 19.1
L1CAM	CD171, HSAS, HSAS1, MASA, MIC5, S10, SPG1	ENSG00000198910	L1 cell adhesion molecule	X	153861514-153909223	CD markers, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB010896	Enhanced		Approved	Nucleoplasm<br>Plasma membrane	Endometrial cancer:8.51e-10 (unfavourable), Lung cancer:2.36e-6 (unfavourable), Renal cancer:1.17e-4 (unfavourable), Head and neck cancer:3.81e-4 (unfavourable)	Tissue enhanced	Tissue enhanced		adrenal gland: 36.0;cerebral cortex: 66.9	seminal vesicle: 12.8	Cell line enhanced		BJ hTERT+: 303.8;BJ hTERT+ SV40 Large T+ RasG12V: 195.5;HeLa: 182.1
LAG3	CD223	ENSG00000089692	Lymphocyte activating 3	12	6772512-6778455	CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB002301, HPA013967	Enhanced				Renal cancer:4.62e-11 (unfavourable), Cervical cancer:3.89e-4 (favourable)	Expressed in all	Tissue enhanced		spleen: 32.0	lymph node: 17.6	Cell line enriched	140	HDLM-2: 136.0
LAMP3	CD208, DC-LAMP, DCLAMP, LAMP, TSC403	ENSG00000078081	Lysosomal associated membrane protein 3	3	183122213-183163839	CD markers, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB025133, HPA051467	Enhanced		Enhanced	Vesicles	Renal cancer:1.89e-7 (unfavourable), Ovarian cancer:9.90e-4 (favourable)	Mixed	Tissue enriched	7	lung: 319.3	appendix: 44.9	Group enriched	8	EFO-21: 154.0;HDLM-2: 40.5;HHSteC: 50.0;hTCEpi: 40.3
LAT	LAT1	ENSG00000213658	Linker for activation of T-cells	16	28984826-28990783	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB002223, HPA011157, CAB012978	Enhanced		Supported	Golgi apparatus<br>Plasma membrane		Not detected	Tissue enhanced		lymph node: 75.3	appendix: 31.8	Group enriched	8	HEL: 173.8;HMC-1: 690.0;MOLT-4: 227.5
LDLR	LDLCQ2	ENSG00000130164	Low density lipoprotein receptor	19	11089362-11133816	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA009647, HPA013159	Approved				Pancreatic cancer:6.60e-5 (unfavourable), Urothelial cancer:3.43e-4 (unfavourable), Renal cancer:5.92e-4 (unfavourable)	Expressed in all	Expressed in all			lung: 87.6	Expressed in all		
LGR4	GPR48	ENSG00000205213	Leucine rich repeat containing G protein-coupled receptor 4	11	27365961-27472775	Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA030267, HPA054350	Uncertain		Approved	Microtubule organizing center	Renal cancer:2.00e-7 (favourable)	Expressed in all	Expressed in all			kidney: 56.2	Cell line enhanced		HAP1: 86.6
LHCGR	HHG, LCGR, LGR2, LHR, ULG5	ENSG00000138039	Luteinizing hormone/choriogonadotropin receptor	2	48686775-48755730	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB009814	Uncertain					Not detected	Tissue enhanced		ovary: 1.6;testis: 4.3	adipose tissue: 1.3	Not detected		
LIFR	CD118	ENSG00000113594	Leukemia inhibitory factor receptor alpha	5	38474963-38608354	Cancer-related genes, CD markers, Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA004478, CAB010252	Approved		Approved	Nuclear speckles<br>Golgi apparatus	Renal cancer:1.40e-7 (favourable), Lung cancer:1.92e-4 (favourable)	Mixed	Mixed			thyroid gland: 68.0	Cell line enhanced		AF22: 93.6;SCLC-21H: 72.8
LILRA2	CD85h, ILT1, LIR-7, LIR7	ENSG00000239998	Leukocyte immunoglobulin like receptor A2	19	54572920-54590287	CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level							Mixed	Tissue enhanced		bone marrow: 9.9;spleen: 7.0	appendix: 4.0	Cell line enhanced		REH: 1.8;THP-1: 2.7;U-937: 7.1
LILRB3	CD85a, HL9, ILT5, LIR-3, LIR3, PIR-B, PIRB	ENSG00000204577	Leukocyte immunoglobulin like receptor B3	19	54216278-54223506	CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level							Mixed	Group enriched	5	adipose tissue: 5.4;appendix: 11.3;bone marrow: 9.9;lung: 9.2;spleen: 11.1;urinary bladder: 6.8	placenta: 1.7	Not detected		
LINC01125		ENSG00000228486	Long intergenic non-protein coding RNA 1125	2	97664217-97703064	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level							Mixed	Tissue enhanced		testis: 11.7	skin: 2.4	Cell line enhanced		AF22: 1.7;HDLM-2: 1.8
