Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
KRT9	CK-9, EPPK, K9	ENSG00000171403	Keratin 9	17	41565841-41572058	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA007261, CAB037322	Supported					Tissue enriched	Tissue enhanced		skin: 2.9	adrenal gland: 0.7	Cell line enhanced		BEWO: 6.7;HaCaT: 14.8;U-937: 4.1
KRTAP1-1	HB2A, KAP1.1, KAP1.1A, KAP1.1B	ENSG00000188581	Keratin associated protein 1-1	17	41040559-41041461	Predicted intracellular proteins	Evidence at transcript level							Not detected	Not detected			pancreas: 0.1	Not detected		
KRTAP1-3	KAP1.3	ENSG00000221880	Keratin associated protein 1-3	17	41033884-41034855	Predicted intracellular proteins	Evidence at transcript level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP1-4	KAP1.4	ENSG00000204887	Keratin associated protein 1-4	17	41029697-41030104	Predicted intracellular proteins	Evidence at transcript level							Not detected	Not detected			skin: 0.1	Not detected		
KRTAP1-5	KAP1.5	ENSG00000221852	Keratin associated protein 1-5	17	41026026-41027202	Predicted intracellular proteins	Evidence at protein level							Not detected	Tissue enriched	14	cervix, uterine: 2.1	urinary bladder: 0.1	Cell line enhanced		BJ: 23.6;BJ hTERT+: 9.7;fHDF/TERT166: 28.2;LHCN-M2: 14.9
KRTAP10-1	KAP10.1, KAP18.1, KRTAP18-1	ENSG00000215455	Keratin associated protein 10-1	21	44538981-44540195	Predicted intracellular proteins	Evidence at transcript level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP10-10	KAP10.10, KAP18.10, KRTAP18-10	ENSG00000221859	Keratin associated protein 10-10	21	44637356-44638455	Predicted intracellular proteins	Evidence at transcript level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP10-11	KAP10.11, KAP18.11, KRTAP18-11, KRTAP18.11	ENSG00000243489	Keratin associated protein 10-11	21	44646414-44647650	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP10-12	KAP10.12, KRTAP18-12, KRTAP18.12	ENSG00000189169	Keratin associated protein 10-12	21	44697172-44698044	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP10-2	KAP10.2, KAP18.2, KRTAP18-2	ENSG00000205445	Keratin associated protein 10-2	21	44550357-44551505	Predicted intracellular proteins	Evidence at transcript level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP10-3	KAP10.3, KAP18.3, KRTAP18-3	ENSG00000212935	Keratin associated protein 10-3	21	44557790-44558760	Predicted intracellular proteins	Evidence at transcript level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP10-4	KAP10.4, KRTAP18-4, KRTAP18.4	ENSG00000215454	Keratin associated protein 10-4	21	44573724-44638284	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			fallopian tube: 0.1	Not detected		
KRTAP10-5	KAP10.5, KAP18.5, KRTAP18-5	ENSG00000241123	Keratin associated protein 10-5	21	44579455-44580604	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP10-6	KAP10.6, KAP18.6, KRTAP18-6, KRTAP18.6	ENSG00000188155	Keratin associated protein 10-6	21	44591268-44592505	Predicted intracellular proteins	Evidence at transcript level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP10-7	KAP10.7, KAP18.7, KRTAP18-7	ENSG00000272804	Keratin associated protein 10-7	21	44600597-44602174	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP10-8	KAP10.8, KRTAP18-8, KRTAP18.8	ENSG00000187766	Keratin associated protein 10-8	21	44612079-44612954	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP10-9	KAP10.9, KAP18.9, KRTAP18-9	ENSG00000221837	Keratin associated protein 10-9	21	44627123-44628293	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP11-1	KAP11.1	ENSG00000182591	Keratin associated protein 11-1	21	30880644-30881555	Predicted intracellular proteins	Evidence at protein level	HPA054008	Supported					Group enriched	Not detected			skin: 0.1	Not detected		
KRTAP12-1	KAP12.1, KRTAP12.1	ENSG00000187175	Keratin associated protein 12-1	21	44681576-44682163	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			parathyroid gland,skin: 0.1	Not detected		
KRTAP12-2	KAP12.2, KRTAP12.2	ENSG00000221864	Keratin associated protein 12-2	21	44666189-44666927	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			epididymis: 0.1	Not detected		
KRTAP12-3	KRTAP12.3	ENSG00000205439	Keratin associated protein 12-3	21	44657932-44658341	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			skin: 0.1	Not detected		
KRTAP12-4	KRTAP12.4	ENSG00000212933	Keratin associated protein 12-4	21	44654213-44654659	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			testis: 0.1	Not detected		
KRTAP13-1	KAP13.1	ENSG00000198390	Keratin associated protein 13-1	21	30396074-30396822	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			testis: 0.3	Not detected		
KRTAP13-2	KAP13-2	ENSG00000182816	Keratin associated protein 13-2	21	30371391-30372257	Plasma proteins, Predicted intracellular proteins	Evidence at protein level							Tissue enhanced	Group enriched	20	colon: 1.9;rectum: 2.0	all non-specific tissues: 0.0	Not detected		
KRTAP13-3	KAP13.3	ENSG00000240432	Keratin associated protein 13-3	21	30425265-30425968	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP13-4	KAP13.4	ENSG00000186971	Keratin associated protein 13-4	21	30430230-30431026	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			adrenal gland,parathyroid gland: 0.2	Not detected		
KRTAP15-1	KAP15.1	ENSG00000186970	Keratin associated protein 15-1	21	30440275-30440945	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP16-1	KAP16.1	ENSG00000212657	Keratin associated protein 16-1	17	41307700-41309253	Predicted intracellular proteins	Evidence at protein level	HPA070954	Supported					Not detected	Not detected			bone marrow: 0.3	Not detected		
KRTAP17-1	KAP17.1	ENSG00000186860	Keratin associated protein 17-1	17	41314917-41315695	Predicted intracellular proteins	Evidence at transcript level							Not detected	Not detected			endometrium: 0.1	Group enriched	53	HDLM-2: 8.2;SCLC-21H: 6.3
KRTAP19-1	KAP19.1	ENSG00000184351	Keratin associated protein 19-1	21	30479699-30480344	Predicted intracellular proteins	Evidence at transcript level							Tissue enriched	Not detected			all non-specific tissues: 0.0	Cell line enriched	13	HEK93: 19.8
KRTAP19-2	KAP19.2	ENSG00000186965	Keratin associated protein 19-2	21	30487057-30487436	Predicted intracellular proteins	No evidence							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP19-3	KAP19.3	ENSG00000244025	Keratin associated protein 19-3	21	30491464-30491985	Predicted intracellular proteins	No evidence							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP19-4	KAP19.4	ENSG00000186967	Keratin associated protein 19-4	21	30496824-30497133	Predicted intracellular proteins	No evidence							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP19-5	KAP19.5	ENSG00000186977	Keratin associated protein 19-5	21	30501657-30502117	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Cell line enriched	5	HEK93: 4.3
KRTAP19-6	KAP19.6	ENSG00000186925	Keratin associated protein 19-6	21	30541535-30541864	Predicted intracellular proteins	No evidence							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP19-7	KAP19.7	ENSG00000244362	Keratin associated protein 19-7	21	30560875-30561314	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP19-8		ENSG00000206102	Keratin associated protein 19-8	21	31038159-31038476	Predicted intracellular proteins	No evidence							Not detected	Not detected			testis: 0.7	Not detected		
KRTAP2-1	KAP2.1A	ENSG00000212725	Keratin associated protein 2-1	17	41046541-41047316	Predicted intracellular proteins	Evidence at protein level	HPA059203	Supported					Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP2-2	KAP2.2	ENSG00000214518	Keratin associated protein 2-2	17	41054498-41055230	Predicted intracellular proteins	Evidence at protein level	HPA059203	Supported					Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP2-3	KAP2.3	ENSG00000212724	Keratin associated protein 2-3	17	41059240-41060114	Predicted intracellular proteins	Evidence at protein level	HPA059203	Supported					Mixed	Not detected			all non-specific tissues: 0.0	Cell line enhanced		BJ: 31.1;fHDF/TERT166: 17.2;HBF TERT88: 30.9;LHCN-M2: 34.2;U-2 OS: 16.1
KRTAP2-4	KAP2.4	ENSG00000213417	Keratin associated protein 2-4	17	41065116-41065879	Predicted intracellular proteins	Evidence at protein level	HPA059203	Supported					Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP20-1	KAP20.1	ENSG00000244624	Keratin associated protein 20-1	21	30616425-30616699	Predicted intracellular proteins	No evidence							Not detected	Not detected			testis: 0.1	Not detected		
KRTAP20-2	KAP20.2	ENSG00000184032	Keratin associated protein 20-2	21	30635236-30635619	Predicted intracellular proteins	No evidence							Not detected	Not detected			skin: 0.6	Not detected		
KRTAP20-3	KAP19D, KAP20.3, KRTAP19P4	ENSG00000206104	Keratin associated protein 20-3	21	30642864-30643136	Predicted intracellular proteins	No evidence	HPA053598	Uncertain					Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP20-4	KAP20.4	ENSG00000206105	Keratin associated protein 20-4	21	30620627-30620850	Predicted intracellular proteins	Evidence at transcript level							Not detected	Tissue enriched	36	testis: 3.6	all non-specific tissues: 0.0	Cell line enriched	10	U-2 OS: 5.5
KRTAP21-1	KAP21.1	ENSG00000187005	Keratin associated protein 21-1	21	30754830-30755428	Predicted intracellular proteins	Evidence at transcript level							Not detected	Group enriched	7	breast: 13.5;testis: 6.0	seminal vesicle: 1.3	Cell line enhanced		SK-MEL-30: 1.2
KRTAP21-2	KAP21.2	ENSG00000187026	Keratin associated protein 21-2	21	30746794-30747233	Predicted intracellular proteins	Evidence at transcript level							Not detected	Group enriched	20	skin: 1.1;testis: 2.9	all non-specific tissues: 0.0	Cell line enriched	12	HEK93: 1.7
KRTAP21-3		ENSG00000231068	Keratin associated protein 21-3	21	30718525-30718777	Predicted intracellular proteins	No evidence	HPA046554	Uncertain					Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP22-1	KAP22.1	ENSG00000186924	Keratin associated protein 22-1	21	30601087-30601382	Predicted intracellular proteins	No evidence							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP22-2	KAP22.2	ENSG00000206106	Keratin associated protein 22-2	21	30590105-30590397	Predicted intracellular proteins	No evidence							Not detected	Not detected			skin: 0.2	Not detected		
KRTAP23-1	KAP23.1	ENSG00000186980	Keratin associated protein 23-1	21	30348399-30348609	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP24-1	KAP24.1	ENSG00000188694	Keratin associated protein 24-1	21	30281309-30282958	Predicted intracellular proteins	Evidence at protein level	HPA017604	Supported					Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP25-1	KAP25.1	ENSG00000232263	Keratin associated protein 25-1	21	30289145-30289514	Predicted intracellular proteins	No evidence	HPA031438	Uncertain		Approved	Nuclear membrane<br>Plasma membrane<br>Cytosol		Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP26-1		ENSG00000197683	Keratin associated protein 26-1	21	30319124-30320316	Predicted intracellular proteins	Evidence at protein level							Not detected	Tissue enriched	19	placenta: 1.9	testis: 0.1	Not detected		
KRTAP27-1		ENSG00000206107	Keratin associated protein 27-1	21	30337013-30337694	Predicted intracellular proteins	Evidence at transcript level	HPA021522, HPA048826	Approved					Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP29-1	KAP29.2	ENSG00000212658	Keratin associated protein 29-1	17	41301826-41302851	Predicted intracellular proteins	Evidence at transcript level							Not detected	Not detected			all non-specific tissues: 0.0	Cell line enriched	21	HDLM-2: 2.0
KRTAP3-1	KAP3.1	ENSG00000212901	Keratin associated protein 3-1	17	41008521-41019324	Predicted intracellular proteins	Evidence at protein level							Tissue enhanced	Not detected			all non-specific tissues: 0.0	Cell line enhanced		BJ: 2.1;CACO-2: 5.5;HaCaT: 1.6;Hep G2: 2.3;T-47d: 1.8
KRTAP3-2	KAP3.2	ENSG00000212900	Keratin associated protein 3-2	17	40999193-40999894	Predicted intracellular proteins	Evidence at protein level	HPA042992	Approved					Not detected	Tissue enriched	7	esophagus: 3.3	skin: 0.5	Not detected		
KRTAP3-3	KAP3.3	ENSG00000212899	Keratin associated protein 3-3	17	40993430-40994133	Predicted intracellular proteins	Evidence at protein level	HPA042992	Approved					Tissue enhanced	Not detected			breast,skin: 0.1	Not detected		
KRTAP4-1	KAP4.1, KAP4.10, KRTAP4-10	ENSG00000198443	Keratin associated protein 4-1	17	41184102-41185342	Predicted intracellular proteins	Evidence at transcript level							Mixed	Not detected			colon,small intestine: 0.3	Cell line enhanced		A549: 1.5;CAPAN-2: 1.1;HDLM-2: 4.6;SCLC-21H: 1.4
KRTAP4-11	KAP4.11, KAP4.14, KRTAP4-14	ENSG00000212721	Keratin associated protein 4-11	17	41117181-41118360	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP4-12	KAP4.12	ENSG00000213416	Keratin associated protein 4-12	17	41123091-41124167	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP4-16	KAP4A, KRTAP4-16P, KRTAP4P1	ENSG00000241241	Keratin associated protein 4-16	17	41101502-41102209	Predicted intracellular proteins	No evidence							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP4-2	KAP4.2	ENSG00000244537	Keratin associated protein 4-2	17	41177446-41178208	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP4-3	KAP4.3	ENSG00000196156	Keratin associated protein 4-3	17	41167231-41168194	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Cell line enriched	11	HDLM-2: 1.1
KRTAP4-4	KAP4.13, KAP4.4, KRTAP4-13	ENSG00000171396	Keratin associated protein 4-4	17	41159651-41160731	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP4-5	KAP4.5	ENSG00000198271	Keratin associated protein 4-5	17	41148924-41149802	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP4-6	KAP4.15, KAP4.6, KRTAP4-15	ENSG00000198090	Keratin associated protein 4-6	17	41139433-41140487	Predicted intracellular proteins	Evidence at transcript level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP4-7	KAP4.7	ENSG00000240871	Keratin associated protein 4-7	17	41084150-41085141	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP4-8	KAP4.8	ENSG00000204880	Keratin associated protein 4-8	17	41096981-41098141	Predicted intracellular proteins	Evidence at transcript level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP4-9	KAP4.9	ENSG00000212722	Keratin associated protein 4-9	17	41105332-41106488	Predicted intracellular proteins	Evidence at transcript level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP5-1	KRN1L, KRTAP5.1	ENSG00000205869	Keratin associated protein 5-1	11	1584342-1585283	Predicted intracellular proteins	Evidence at transcript level						Colorectal cancer:2.37e-4 (unfavourable)	Mixed	Not detected			adrenal gland,cerebral cortex,pancreas,salivary gland,small intestine,spleen,stomach: 0.1	Cell line enhanced		SCLC-21H: 1.6
KRTAP5-10	KRTAP5.10	ENSG00000204572	Keratin associated protein 5-10	11	71565563-71566738	Predicted intracellular proteins	Evidence at transcript level							Mixed	Tissue enhanced		epididymis: 1.7	fallopian tube,seminal vesicle,testis: 0.4	Cell line enriched	9	RT4: 2.8
KRTAP5-11	KRTAP5-6, KRTAP5.11	ENSG00000204571	Keratin associated protein 5-11	11	71579714-71603353	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			duodenum: 0.1	Not detected		
KRTAP5-2	KRTAP5-8, KRTAP5.2	ENSG00000205867	Keratin associated protein 5-2	11	1597177-1598294	Predicted intracellular proteins	Evidence at protein level							Not detected	Tissue enhanced		cerebral cortex: 3.6	gallbladder: 0.9	Cell line enhanced		MCF7: 1.9;SCLC-21H: 3.3;SH-SY5Y: 1.3
KRTAP5-3	KRTAP5-9, KRTAP5.3	ENSG00000196224	Keratin associated protein 5-3	11	1607565-1608463	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP5-4	KRTAP5.4	ENSG00000241598	Keratin associated protein 5-4	11	1620958-1622138	Predicted intracellular proteins	No evidence							Not detected	Not detected			skeletal muscle: 0.1	Not detected		
KRTAP5-5	KRTAP5-11, KRTAP5.5	ENSG00000185940	Keratin associated protein 5-5	11	1629775-1630707	Predicted intracellular proteins	Evidence at transcript level							Not detected	Not detected			epididymis: 0.1	Not detected		
KRTAP5-6	KRTAP5.6	ENSG00000205864	Keratin associated protein 5-6	11	1697195-1697755	Predicted intracellular proteins	Evidence at protein level						Liver cancer:6.04e-5 (favourable)	Tissue enriched	Not detected			placenta: 0.6	Not detected		
KRTAP5-7	KRTAP5-3, KRTAP5.7	ENSG00000244411	Keratin associated protein 5-7	11	71527267-71528674	Predicted intracellular proteins	Evidence at transcript level							Not detected	Tissue enhanced		testis: 1.8	epididymis: 0.5	Cell line enriched	10	RT4: 1.3
KRTAP5-8	KRTAP5-2, KRTAP5.8, UHSKerB	ENSG00000241233	Keratin associated protein 5-8	11	71538025-71539207	Predicted intracellular proteins	Evidence at transcript level							Tissue enhanced	Tissue enhanced		testis: 1.1	epididymis,kidney: 0.8	Not detected		
KRTAP5-9	KRN1, KRTAP5-1, KRTAP5.9	ENSG00000254997	Keratin associated protein 5-9	11	71548418-71549553	Predicted intracellular proteins	Evidence at protein level						Urothelial cancer:9.25e-4 (favourable)	Tissue enhanced	Tissue enhanced		testis: 2.6	epididymis: 1.8	Cell line enriched	22	RT4: 7.2
KRTAP6-1	C21orf103, KAP6.1	ENSG00000184724	Keratin associated protein 6-1	21	30613431-30613930	Predicted intracellular proteins	No evidence							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP6-2	KAP6.2	ENSG00000186930	Keratin associated protein 6-2	21	30598590-30598902	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP6-3	KAP6.3	ENSG00000212938	Keratin associated protein 6-3	21	30592440-30593075	Predicted intracellular proteins	No evidence							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP7-1	KAP7.1	ENSG00000274749	Keratin associated protein 7-1 (gene/pseudogene)	21	30829039-30829759	Predicted intracellular proteins	Evidence at transcript level							Tissue enriched	Not detected			skin: 0.1	Not detected		
KRTAP8-1	KAP8.1	ENSG00000183640	Keratin associated protein 8-1	21	30812697-30813252	Predicted intracellular proteins	Evidence at protein level							Tissue enriched	Not detected			testis: 0.3	Not detected		
KRTAP9-1	KAP9.1, KRTAP9L3	ENSG00000240542	Keratin associated protein 9-1	17	41189887-41190639	Predicted intracellular proteins	Evidence at transcript level							Not detected	Not detected			all non-specific tissues: 0.0	Cell line enriched	42	HDLM-2: 4.2
KRTAP9-2	KAP9.2	ENSG00000239886	Keratin associated protein 9-2	17	41226648-41227652	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			testis: 0.1	Not detected		
KRTAP9-3	KAP9.3	ENSG00000204873	Keratin associated protein 9-3	17	41232463-41233454	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP9-4	KAP9.4	ENSG00000241595	Keratin associated protein 9-4	17	41249687-41250653	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP9-6	KAP9.6, KRTAP9L2	ENSG00000212659	Keratin associated protein 9-6	17	41265339-41266641	Predicted intracellular proteins	No evidence							Not detected	Not detected			skin: 0.1	Not detected		
KRTAP9-7	KAP9.7, KRTAP9L1	ENSG00000180386	Keratin associated protein 9-7	17	41275659-41276697	Predicted intracellular proteins	No evidence							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KRTAP9-8	KAP9.8	ENSG00000187272	Keratin associated protein 9-8	17	41238045-41239004	Predicted intracellular proteins	Evidence at protein level							Not detected	Not detected			all non-specific tissues: 0.0	Cell line enriched	15	HDLM-2: 1.5
KRTAP9-9	KAP9.5, KAP9.9, KRTAP9-5	ENSG00000198083	Keratin associated protein 9-9	17	41255384-41256364	Predicted intracellular proteins	Evidence at transcript level							Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
KSR1	KSR, RSU2	ENSG00000141068	Kinase suppressor of ras 1	17	27456714-27626438	Enzymes, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	CAB009623, HPA011215	Uncertain				Renal cancer:6.54e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 75.6	Cell line enhanced		HDLM-2: 562.3;HEL: 176.9
KSR2	FLJ25965	ENSG00000171435	Kinase suppressor of ras 2	12	117453012-117968983	Enzymes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	HPA035536	Approved					Not detected	Tissue enhanced		cerebral cortex: 4.1	adrenal gland: 1.2	Group enriched	6	HUVEC TERT2: 3.8;SCLC-21H: 3.8;TIME: 5.6
KTI12	MGC20419, SBBI81, TOT4	ENSG00000198841	KTI12 chromatin associated homolog	1	52032103-52033816	Predicted intracellular proteins	Evidence at protein level	HPA031203, HPA031204, HPA031205	Approved		Approved	Nuclear speckles<br>Cytoplasmic bodies	Liver cancer:1.02e-4 (unfavourable)	Expressed in all	Mixed			ovary: 11.5	Expressed in all		
KXD1	BORCS4, C19orf50, FLJ25480, KXDL, MGC2749	ENSG00000105700	KxDL motif containing 1	19	18557762-18569387	Predicted intracellular proteins	Evidence at protein level	HPA041507, HPA041599	Approved		Approved	Nucleoli fibrillar center<br>Centrosome<br>Cytosol	Renal cancer:7.71e-10 (unfavourable), Liver cancer:8.46e-4 (unfavourable)	Expressed in all	Expressed in all			fallopian tube: 91.9	Expressed in all		
KY	FLJ33207	ENSG00000174611	Kyphoscoliosis peptidase	3	134603138-134651636	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA036492, HPA036668	Uncertain		Approved	Nucleoplasm		Mixed	Tissue enhanced		skin: 11.0	parathyroid gland: 9.3	Cell line enhanced		Karpas-707: 1.6;U-2197: 2.7;U-87 MG: 8.6
KYAT1	CCBL1, GTK, KATI	ENSG00000171097	Kynurenine aminotransferase 1	9	128832942-128882494	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA021176, HPA021177, HPA027736	Approved		Enhanced	Nucleoplasm<br>Cytosol		Expressed in all	Mixed			cerebral cortex: 17.0	Expressed in all		
KYAT3	CCBL2, KAT3, KATIII, RBM1, RP11-82K18.3	ENSG00000137944	Kynurenine aminotransferase 3	1	88935773-88992953	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA026538, HPA027168	Enhanced		Approved	Nucleoli<br>Cytosol	Renal cancer:5.02e-6 (favourable), Breast cancer:3.19e-5 (favourable), Head and neck cancer:1.86e-4 (favourable), Ovarian cancer:2.80e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 42.8	Expressed in all		
KYNU		ENSG00000115919	Kynureninase	2	142877498-143055832	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA031686	Enhanced		Supported	Nucleoplasm<br>Cytosol		Mixed	Mixed			liver: 45.9	Cell line enhanced		A549: 168.9;HeLa: 138.9;hTEC/SVTERT24-B: 106.9;SiHa: 109.4;U-87 MG: 309.1
L1TD1	ECAT11, FLJ10884	ENSG00000240563	LINE1 type transposase domain containing 1	1	62194831-62212328	Predicted intracellular proteins	Evidence at protein level							Tissue enriched	Tissue enhanced		placenta: 16.6;testis: 11.0	appendix: 6.1	Cell line enriched	26	NTERA-2: 254.5
L2HGDH	C14orf160, FLJ12618	ENSG00000087299	L-2-hydroxyglutarate dehydrogenase	14	50237563-50312548	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA065409, HPA069708	Approved		Enhanced	Mitochondria	Renal cancer:9.75e-10 (favourable)	Expressed in all	Mixed			kidney: 20.8	Expressed in all		
L34079.2		ENSG00000268361		19	43554692-43593036	Predicted intracellular proteins	No evidence							Not detected	Not detected			parathyroid gland: 0.5	Not detected		
L3HYPDH	C14orf149, FLJ25436	ENSG00000126790	Trans-L-3-hydroxyproline dehydratase	14	59460363-59484430	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA056694	Approved		Uncertain	Vesicles	Renal cancer:1.72e-9 (unfavourable)	Expressed in all	Expressed in all			testis: 32.0	Expressed in all		
L3MBTL1	dJ138B7.3, DKFZp586P1522, KIAA0681, L3MBTL, ZC2HC3	ENSG00000185513	L(3)mbt-like 1 (Drosophila)	20	43507680-43550950	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA068051			Supported	Nucleus		Mixed	Mixed			testis: 10.1	Cell line enhanced		BEWO: 7.9
L3MBTL3	KIAA1798	ENSG00000198945	L(3)mbt-like 3 (Drosophila)	6	130013699-130141451	Predicted intracellular proteins	Evidence at protein level	HPA044382, HPA053035	Approved		Enhanced	Nucleus<br>Nucleoli		Expressed in all	Mixed			endometrium: 18.5	Cell line enhanced		HMC-1: 55.3;HUVEC TERT2: 52.0
L3MBTL4	FLJ35936, HsT1031	ENSG00000154655	L(3)mbt-like 4 (Drosophila)	18	5954706-6415237	Predicted intracellular proteins	Evidence at protein level	HPA064194, HPA069042	Approved		Approved	Nucleoplasm<br>Vesicles		Mixed	Mixed			testis: 23.4	Cell line enhanced		RPMI-8226: 8.0;SCLC-21H: 6.3;SH-SY5Y: 6.2
LA16c-306E5.2		ENSG00000262621		16	3365099-3479550	Predicted intracellular proteins	Evidence at transcript level							Not detected	Mixed			appendix,endometrium: 1.0	Mixed		
LA16c-312E8.5		ENSG00000284395		16	1431035-1433397	Predicted intracellular proteins	Evidence at transcript level								Tissue enhanced		prostate: 2.6;stomach: 1.4	duodenum: 0.7	Cell line enriched	54	SCLC-21H: 38.7
LACC1	C13orf31, FAMIN, FLJ38725	ENSG00000179630	Laccase domain containing 1	13	43879284-43893932	Disease related genes, Predicted intracellular proteins	Evidence at protein level	CAB034228, HPA040150, HPA044211	Uncertain					Expressed in all	Mixed			testis: 17.1	Cell line enhanced		TIME: 93.5
